,Code,Year,Coal rents (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),Forest rents (% of GDP),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),GDP (constant 2015 US$),GDP (current US$),Gini index,"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),"Inflation, consumer prices (annual %)",Manufactures exports (% of merchandise exports),Manufactures imports (% of merchandise imports),Merchandise exports (current US$),Merchandise imports (current US$),Merchandise trade (% of GDP),Military expenditure (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil rents (% of GDP),"Population, total",Research and development expenditure (% of GDP),Ores and metals exports (% of merchandise exports),Ores and metals imports (% of merchandise imports),Total natural resources rents (% of GDP),Human Development Index,GDP_pc
1091,DZA,2009,0.0,5.35939837,35.3716518568122,0.134510355599873,98.33852819805,1.051989399987,136078288561.513,137211003661.699,,,35.9526786901116,5.73706036145628,0.867917628982656,79.7522066119791,45174000000.0,39294000000.0,61.5606604031992,3.84851369829344,0.171442811044615,3.99167140096935,19.9046263657492,35196037,,0.470471726874241,1.3773437004943,24.2022509333631,0.714,3866.2957582841786
1092,DZA,2010,0.0,5.11716986,38.4445473501205,0.137192681108823,98.3108761995675,2.11530409328991,140977106950.801,161207307027.185,,,31.4221139127473,3.91106195534028,0.807118810007341,78.4308573742416,57053000000.0,40473000000.0,60.4972577226624,3.51801260882618,0.15354556834639,3.25358685142754,21.9939993236664,35856344,,0.29121687605806,1.52607111137202,25.5383244245491,0.721,3931.7200591003084
1093,DZA,2011,0.0,5.26748085,38.7881186400386,0.127015928820299,98.3333229077681,2.27705292389929,145065443049.82,200013098817.25,27.6,,28.6861830923084,4.5242115050527,0.89655673065055,71.7393068460253,73489000000.0,47247000000.0,60.3640465119314,4.32570635861069,0.155584161415637,3.27268025363181,25.0260096148481,36543541,,0.255945929207127,1.65193970327174,28.5812899587159,0.727,3969.6602759382295
1094,DZA,2012,0.0,6.00050974,36.8905478100074,0.140154451494083,98.4004104735679,9.66062611317852,149997668117.771,209059080929.499,,7.63759708404541,28.5144313881196,8.89145091062317,0.898546404983427,67.4048861521002,71866000000.0,50378000000.0,58.4734226595132,4.46107862007699,0.142947452820782,3.36687425907052,22.6025382987382,37260563,,0.24608003183097,1.5660377678249,26.2525144621236,0.729,4025.6414836719186
1095,DZA,2013,0.0,6.03576279,33.2098978857357,0.116859438703444,98.3397689163232,7.80966233329149,154197602825.068,209755003250.664,,7.29229640960693,30.4009257853789,3.25423910998847,0.866851295881632,70.1306786762433,64974000000.0,55028000000.0,57.2105542848929,4.84450891704059,0.079994049293044,3.15384901781361,20.8724313901278,38000626,,0.167011835510265,1.53033622472712,24.2231338959379,0.731,4057.7648069552324
1096,DZA,2014,0.0,6.54721403,30.4876572080909,0.184124602857198,97.228399822397,4.85002748474097,160057111729.904,213809979836.314,,7.31870079040527,31.9266588029972,2.91692692067458,2.03376041235386,72.0429123194083,60061000000.0,58580000000.0,55.4889907808923,5.54848333584853,0.0545536170787534,3.0569020902826,19.3167294732848,38760168,,0.179690702278308,1.4192045156963,22.6123097835033,0.735,4129.422548682039
1097,DZA,2015,0.0,6.97849178,23.1717780134205,0.216908794855198,95.839787593179,4.51538770001091,165979224866.131,165979224866.131,,7.96296739578247,36.5233505852979,4.78444700693889,3.14112807428962,73.1769028033099,34668000000.0,51702000000.0,52.0366329398518,6.27024285623508,0.0564100379035482,2.90603072482324,11.7459031918092,39543154,,0.309061621803374,1.53513588160658,14.9252527493911,0.74,4197.419984913976
1098,DZA,2016,0.0,6.60749817,20.8724852102256,0.175229379443736,95.3110605757096,3.31648668286546,171290560064.735,160034212126.018,,7.34434270858765,35.0531826669525,6.39769480268757,3.29924526959131,74.6202711876683,30026000000.0,47089000000.0,48.1865714684034,6.38492898301865,0.0507846759461622,2.56694843286828,10.0262189142963,40339329,,0.251775038423141,1.61284049235123,12.8191814025545,0.743,4246.24217385309
1099,DZA,2017,0.0,6.27938414,22.6322322911166,0.206967227527329,96.1115601990579,4.20820484474438,173517337342.624,170096988531.906,,6.4018383026123,32.6891707303428,5.59111590961664,2.67130147044604,72.9653660533898,35191000000.0,46059000000.0,47.7668656578006,5.92438332688534,0.0407837177161842,2.96806789859693,12.1565741270026,41136546,0.534319996833801,0.165401420227525,1.47471991011885,15.372392970843,0.744,4218.082318885596
1100,DZA,2018,0.0,6.16302586,25.8611812587344,0.104094347857166,,,175599545392.513,174910684781.571,,6.32453918457031,32.204378846201,4.26999020467084,,,41797000000.0,46330000000.0,50.3840003313997,5.48358870056161,0.0265132651271735,4.64378704706283,15.9428081774505,41927007,,,,20.7172028374976,0.745,4188.220384834839
