Country Name,Time Code,Arms exports (SIPRI trend indicator values) [MS.MIL.XPRT.KD],Arms imports (SIPRI trend indicator values) [MS.MIL.MPRT.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Consumer price index (2010 = 100) [FP.CPI.TOTL],"Cost of business start-up procedures, female (% of GNI per capita) [IC.REG.COST.PC.FE.ZS]",Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",Domestic credit to private sector (% of GDP) [FS.AST.PRVT.GD.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Expense (% of GDP) [GC.XPN.TOTL.GD.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Forest rents (% of GDP) [NY.GDP.FRST.RT.ZS],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Fuel imports (% of merchandise imports) [TM.VAL.FUEL.ZS.UN],GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (current US$) [NY.GDP.MKTP.CD],Gini index [SI.POV.GINI],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]",Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Interest payments (% of expense) [GC.XPN.INTP.ZS],"Labor force, total [SL.TLF.TOTL.IN]",Land area (sq. km) [AG.LND.TOTL.K2],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Manufactures exports (% of merchandise exports) [TX.VAL.MANF.ZS.UN],Manufactures imports (% of merchandise imports) [TM.VAL.MANF.ZS.UN],"Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]",Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],"Population, total [SP.POP.TOTL]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Researchers in R&D (per million people) [SP.POP.SCIE.RD.P6],Surface area (sq. km) [AG.SRF.TOTL.K2],"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Agricultural raw materials imports (% of merchandise imports) [TM.VAL.AGRI.ZS.UN],Agricultural raw materials exports (% of merchandise exports) [TX.VAL.AGRI.ZS.UN],Ores and metals exports (% of merchandise exports) [TX.VAL.MMTL.ZS.UN],Ores and metals imports (% of merchandise imports) [TM.VAL.MMTL.ZS.UN],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Human Development Index
Aruba,YR1998,..,..,..,0,67.6881693768789,..,..,..,99.2564086914062,41.870110701107,..,..,79.6377054679638,..,..,0.000848352981616005,..,..,..,2510870012.3673,1665363128.49162,..,4.76316022872925,27.0848708487085,..,83.629654478363,1.86948853615541,..,..,180,..,..,..,2.7940288493794,1165000000,1518000000,161.106004696411,..,0,0,0,84355,51.7906466718037,48.2093533281963,..,..,180,79.4659510231466,..,..,..,..,0.000848352981616005,
Aruba,YR1999,..,..,..,0,69.2317114268756,..,..,..,98.7386169433594,44.6205252918288,..,..,79.928664072633,..,..,0.000717901853338623,..,..,..,2541955633.72044,1722905027.93296,..,4.39526987075806,20.6501297016861,..,84.6303501945525,2.28037198258753,..,..,180,..,..,..,3.59922178988327,1389000000,1994000000,196.354409857328,..,0,0,0,86867,51.8608907870653,48.1379580277896,..,..,180,80.8553826199741,..,..,..,..,0.000717901853338623,
Aruba,YR2000,..,..,..,0,72.0314565915752,..,..,..,85.7465286254883,44.7997006095161,..,..,74.3860109498193,49.9558708661416,25.0706785731483,0.000703282534499704,..,..,..,2735726894.36234,1873452513.96648,..,4.71536016464233,23.7146427711971,..,70.6868685663848,4.04402131190513,..,..,180,97.2912521362305,46.467923039364,67.5896780740747,4.10096377494424,2524000000,2582000000,272.544938392357,..,0,0,0.000959488886147264,89101,51.9287101154869,48.0724122063725,..,..,180,79.0896322626048,2.94462764979241,0.737146652043083,0.0217232356540141,2.38005655353822,0.00166277142064697,
Aruba,YR2001,..,..,..,0,74.1085587734806,..,..,..,96.0552291870117,46.5928526526089,..,..,70.9967837702649,45.0748709458676,23.8069590469182,0.000720947385099791,..,..,..,2850135065.34526,1896456983.24022,..,4.79850006103516,19.1893083069923,..,69.3943248480407,2.88360430316264,..,..,180,..,50.4436484783228,69.6652515587453,4.27707297760187,2423000000,2372000000,252.839903165503,..,0,0,0.000698232167894007,90691,52.0205974131942,47.9794025868057,..,..,180,79.3222468949744,2.51389151684008,0.548675385509795,0.184955756611719,2.10000986158841,0.0014191795529938,
Aruba,YR2002,..,..,..,0,76.5654403862613,..,..,..,88.9076690673828,50.7912122333912,..,..,64.5643135803172,44.0939870494095,21.648868835819,0.000650305150083597,..,..,..,2823202580.63466,1961843575.41899,..,4.87177991867065,12.2071596078221,..,68.6664578409317,3.31524678585423,..,..,180,..,50.9878779370427,71.9406083688584,4.4258336418259,1488000000,2017000000,178.658484494689,..,0,0,0.000720702919318894,91781,52.1142720170842,47.8857279829159,..,..,180,79.3752598456588,2.516781671669,0.992986355983729,0.111562661455705,1.88687499818701,0.00137100806940249,
Aruba,YR2003,..,..,..,0,79.3649524114212,..,..,..,..,55.0125172180073,..,..,62.7312132409209,46.8718805701389,22.2848984519249,0.000692126845962617,..,..,..,2854554386.72823,2044111731.84358,..,..,14.6464617651111,..,70.0630780331023,3.65636507938418,..,..,180,..,41.9267968925849,70.2095930625135,4.77750508341168,2052000000,2397000000,217.649550692,..,0,0,0.000760651086559827,92701,52.1828243492519,47.8171756507481,..,..,180,77.40907252334,2.67728416685506,1.17199554693061,0.105130154944915,2.4568402111469,0.00145277793252244,
Aruba,YR2004,..,..,..,0,81.3721948111763,..,..,..,..,51.7852298243845,..,..,64.6655585140977,35.8613840448959,22.9445571152139,0.000677514710767039,..,..,..,3062757846.13129,2254830726.25698,..,4.3571400642395,17.2483330332322,..,67.7653712810757,2.52912946932762,..,..,180,..,48.7314008397753,69.6151224771922,5.62202020887743,3435000000,3589000000,311.508971303572,..,0,0,0.000906166596082593,93540,52.2525122942057,47.7474877057943,..,..,180,76.456580991723,2.77368828590492,1.24859402104803,0.0886561304133523,2.3359160077364,0.00158368130684963,
Aruba,YR2005,..,..,..,0,84.1370484876733,..,..,..,96.7939376831055,54.0607007192211,..,..,68.0752981880873,1.18542974235897,6.35970695159188,0.000658705057494767,..,..,..,3051023207.85273,2360017318.43575,..,4.62369012832642,-1.65295315436508,..,76.9749819561498,3.39778677828806,..,..,180,..,24.9548436135744,29.0728842257247,6.18729480964419,4416000000,4288000000,368.81085286989,..,0,0,0.00131405293432615,94483,52.2993554396029,47.7006445603971,..,..,180,75.541061032835,0.37877041439368,0.316903457650212,0.097091478446803,2.66646836417951,0.00197275799182091,
Aruba,YR2006,..,..,..,0,87.1727337163218,..,..,..,..,53.8841202639004,..,..,64.5941526531523,34.3766659335553,21.7320221737387,0.000923709722334835,..,..,..,3085420813.52388,2469782681.56425,..,..,13.1042328028591,..,76.4484740814733,3.60802438784541,..,..,180,..,49.8794330885096,69.7728180681964,6.56566033561861,4716000000,4723000000,382.179374341623,..,0,0,0.00152577280324417,95606,52.314708281907,47.6863376775516,..,..,180,73.7471756386862,2.82170580925841,1.09595387244533,0.349718425137364,3.3269613751909,0.002449482525579,
Aruba,YR2007,..,..,..,0,91.8735825241023,..,..,..,100,51.7272559982541,..,..,65.0612625386555,20.2325886166466,19.6738420144355,0.000897224583517666,..,..,..,3180746244.1035,2677641340.78212,..,4.70252990722656,2.91736405850144,..,74.9110469524375,5.39256784475517,..,..,180,..,72.3175657344114,72.4159002700264,6.66602266899619,5206000000,5126000000,385.86198392732,..,0,0,0.00153973985727839,96787,52.3169433911579,47.6830566088421,..,..,180,72.0518850702006,2.64537746282089,1.0067691119076,0.603313301445307,3.05119421627425,0.00243696444079606,
Aruba,YR2008,..,..,..,0,100.101768678965,..,..,..,100,50.6584576108456,..,..,65.5292950658025,26.1885658214863,21.7327582390724,0.000916581631395387,..,..,..,3239136973.90597,2843024581.00559,..,4.82732009887695,15.3451066556822,..,73.5808547588983,8.95598705177784,..,..,180,..,65.8615222731899,70.7494787259711,6.67084036318234,5456000000,6011000000,403.338053304628,..,0,0,0.00195640008459108,97996,52.3205028776685,47.6794971223315,..,..,180,73.1525399615721,2.5406285883527,0.243534904800934,1.70076889286821,3.01826403139172,0.00287298171598646,
Aruba,YR2009,..,..,..,0,97.9641667608969,..,..,..,92.7680969238281,55.8930411328093,..,..,62.9185634689552,75.991280637363,27.4646038578671,0.000946921913336869,..,0.00955674346080584,5.11616008342167,2860878914.12265,2553793296.08939,..,5.79777002334595,11.1749137477753,..,74.6380124647528,-2.13542872046937,..,..,180,..,19.8747902330539,64.9691778454159,4.20598999407169,1952000000,2449000000,172.331880060114,..,0,0,0.00109429704736333,99212,52.3313712050962,47.6676208523162,..,..,180,75.7664029190885,0.655209722936277,0.0259644631172098,0.173127115119192,0.97022042837788,0.0020412189607002,
Aruba,YR2010,..,..,..,0,100,..,..,..,..,58.8006572951036,..,..,60.2181860904717,82.2470946743442,31.8369020580623,0.00230053107618072,..,0.106446012341249,6.53855143042595,2782678056.16304,2453597206.70391,..,6.75098991394043,4.64861927573651,..,75.2464685871092,2.07814071860787,..,..,180,96.822639465332,13.6744795657305,59.3289998848001,2.86046777972098,265000000,1394000000,67.6150101356144,..,0,0,0.00156960653691674,100341,52.3056377751866,47.695358826402,..,..,180,78.5445335192497,0.830182228273046,0.158576852711918,0.203725059530665,0.798838391545515,0.00387013761309746,
Aruba,YR2011,..,..,..,0,104.316297421952,..,..,..,100,56.2504341594081,..,..,69.7510127562388,77.686012888258,27.9424900500703,0.0018828729498612,..,0.0107756603770306,7.27681184303704,2876433106.04638,2637859217.87709,..,5.91438007354736,-1.24014680878329,..,84.6867741066482,4.31629742195203,..,..,180,..,17.5025800967686,62.1954013606675,4.20609398852294,5180000000,5917000000,420.682041133745,..,0,0,0.00192689765446378,101288,52.3062949214122,47.6927177948029,..,..,180,77.4233295663828,0.8275024005237,0.0978675734500493,1.29325828901818,1.14081154269822,0.00380977060432498,
Aruba,YR2012,..,..,..,0,104.970852972298,..,..,..,100,58.6859032351161,..,..,73.1035458041627,74.968215078819,31.4663981938323,0.00191744955735366,..,0.0469829005505492,7.6224625397815,2846495186.38325,2615208379.88827,..,6.34758996963501,5.75084681363781,..,83.5416514017811,0.627471992893373,..,..,180,..,18.7679869913953,58.8331282284422,1.99163765537339,1389000000,2046000000,131.347086007225,..,0,0,0.00149030629815309,102112,52.3738639924788,47.6261360075212,..,..,180,79.5391289840283,0.256387543478741,0.0317293049002104,1.9733066698771,1.17173360649833,0.00340775585550675,
